epoch,train_loss,train_loss_cls,train_loss_mmd,trg_OA,trg_mIoU,src_OA,srg_mIoU,lr,trg_precision,src_precision,loss_mmd_list
90,1.0628499858627365,0.8348658268051509,0.15198943934823886,0.20587011243980555,0.039695415645837784,0.6887854486579473,0.4028993546962738,0.0009900734214192358,0.27026432752609253,0.6428639888763428,"[0.09853184223175049, 0.0985562801361084, 0.09755992889404297, 0.0940544605255127]"
91,1.0228625650806067,0.8118985038840743,0.1406427084272353,0.06554140457593143,0.01854151487350464,0.6804664396958395,0.39406928420066833,0.0009898531179635107,0.26004675030708313,0.6371100544929504,"[0.1506481170654297, 0.14495182037353516, 0.1478443741798401, 0.14917731285095215]"
92,1.0245035714855149,0.8088539721836153,0.1437663988300531,0.20303679638718003,0.039486728608608246,0.6765319532228836,0.3680838346481323,0.0009896304472543438,0.23537148535251617,0.6243332624435425,"[0.07788515090942383, 0.07543253898620605, 0.07430469989776611, 0.07565033435821533]"
93,1.0112208777567455,0.7976657491062832,0.14237008590788425,0.1396450398608327,0.04336206614971161,0.679421237705562,0.4055008590221405,0.0009894054114894055,0.22082626819610596,0.641601026058197,"[0.015834271907806396, 0.013105988502502441, 0.012138724327087402, 0.01788485050201416]"
94,1.0627034406571805,0.8434281242091042,0.14618354415780827,0.16379842918365936,0.04454877972602844,0.6810127851947915,0.3957352340221405,0.0009891780128897078,0.2166101187467575,0.6206567287445068,"[0.08065617084503174, 0.09149765968322754, 0.088661789894104, 0.10059136152267456]"
95,1.033809539908213,0.8307095697726482,0.13539997926840547,0.2029892744406811,0.03864363580942154,0.6869071918329559,0.4020090401172638,0.0009889482536995825,0.2642018795013428,0.6250684857368469,"[0.0245053768157959, 0.017233848571777344, 0.018554210662841797, 0.019890189170837402]"
96,1.0118453823223745,0.800995502277469,0.14056658660266416,0.10292713589548629,0.044687509536743164,0.6870150407007425,0.3847118616104126,0.0009887161361866606,0.19923828542232513,0.6360874772071838,"[0.018262147903442383, 0.01734185218811035, 0.018640995025634766, 0.015968799591064453]"
97,1.0032711660326514,0.7871356083709861,0.14409037156307952,0.13995465254256814,0.038147490471601486,0.694462826093035,0.4149293005466461,0.0009884816626418483,0.24284668266773224,0.6231160759925842,"[0.1310039758682251, 0.13392478227615356, 0.13199520111083984, 0.1339181661605835]"
98,0.9926957409855321,0.7813251115399331,0.14091375272888382,0.0928236820580171,0.03209196403622627,0.6895208625424017,0.3889378011226654,0.000988244835379305,0.23149867355823517,0.6488489508628845,"[0.04604029655456543, 0.0473368763923645, 0.04821687936782837, 0.04790717363357544]"
99,0.9944667335661309,0.7804400710208478,0.14268444221352292,0.11855177588074008,0.04150483384728432,0.6859192429453304,0.3900206983089447,0.0009880056567364193,0.23272673785686493,0.6382319331169128,"[0.033975958824157715, 0.03689396381378174, 0.036585092544555664, 0.03748953342437744]"
100,1.0120722643731614,0.7949471793558017,0.14475005576232927,0.08871699384806801,0.03269012272357941,0.6906313064403526,0.41727176308631897,0.0009877641290737885,0.25889909267425537,0.6117367744445801,"[0.00649869441986084, 0.006934940814971924, 0.0076084136962890625, 0.007601737976074219]"
